POI_INDEX,TOTAL_REVIEWS,RANKING,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
2,2875,4,Family,4.62434782608696,1961,770,129,8,7,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.","1 Cluny Road, Singapore 259 569, Singapore",2020-01-26 09:44:44.876149
2,5594,4,Couples,4.69949946371112,4120,1299,150,18,7,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.","1 Cluny Road, Singapore 259 569, Singapore",2020-01-26 10:07:18.992291
2,1767,4,Solo,4.67345783814375,1288,390,82,5,2,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.","1 Cluny Road, Singapore 259 569, Singapore",2020-01-26 10:52:12.194610
2,667,4,Business,4.71514242878561,498,150,18,0,1,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.","1 Cluny Road, Singapore 259 569, Singapore",2020-01-26 11:06:38.630354
2,2174,4,Friends,4.64213431462741,1523,544,92,10,5,"This national park is open daily and features beautiful lakes, animals, flowers and plants, including one of the region's first rubber tree orchards.","1 Cluny Road, Singapore 259 569, Singapore",2020-01-26 11:10:55.343299
3,7294,7,Family,4.51782286811078,4573,2118,458,97,48,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!","80 Mandai Lake Road, Singapore 729826, Singapore",2020-01-26 11:28:47.402165
3,4550,7,Couples,4.54615384615385,3028,1115,311,56,40,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!","80 Mandai Lake Road, Singapore 729826, Singapore",2020-01-26 12:28:07.036880
3,882,7,Solo,4.5374149659864,589,208,63,14,8,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!","80 Mandai Lake Road, Singapore 729826, Singapore",2020-01-26 13:00:25.787547
3,392,7,Business,4.56887755102041,258,107,21,4,2,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!","80 Mandai Lake Road, Singapore 729826, Singapore",2020-01-26 13:06:37.093260
3,1865,7,Friends,4.53083109919571,1174,549,113,16,13,"Set in a rainforest environment, Singapore Zoo is home to over 2,800 animals from over 300 species of mammals, birds and reptiles. The park also boasts the world's first free-ranging orang utan habitat in a zoo. Delight in an exciting outdoor feast at Jungle Breakfast with Wildlife, an internationally acclaimed, award-winning programme that offers exhilarating experience with orangutans. The fun is endless with interesting animal presentations, photography with animals and more!","80 Mandai Lake Road, Singapore 729826, Singapore",2020-01-26 13:08:29.418105
