,address,block,coordinates,cuisine_type,dining_category,feature,index,meal,name,phonenumber,price,rating,rating_atmosphere,rating_food,rating_service,rating_value,review_number,special_diets
0,"61 Tanjong Pagar Road, Singapore 088482 Singapore",Outram,"1.278349,103.84389","European, Spanish, Asian, Thai, Fusion","[u'$$ - $$$, European, Spanish, Asian']",,1,"Dinner, After-hours, Drinks",The Obelisk - CLOSED   ,tel:+65 6655 2691,S$19 - S$43,5.0,,,,,5 reviews,
0,"B Connaught Drive, S179682 Level 2, Singapore Recreation Club, Singapore 179682 Singapore", from Merlion Park,"1.292074,103.853806","Chinese, Diner","[u'$, Chinese, Diner']",Reservations,2,"Lunch, Dinner",Fu Lin Men Chinese Restaurant (SRC),tel:+65 6338 9595,,5.0,,ui_bubble_rating bubble_50,ui_bubble_rating bubble_50,ui_bubble_rating bubble_50,53 reviews,
0,"22 Scotts Road Goodwood Park Hotel Goodwood Park Hotel, Singapore 228221 Singapore",Central Area/City Area,"1.308064,103.8338",,"[u'$$$$, European, Fusion, Vegetarian Friendly']",,3,,Alma By Juan Amador,tel:+65 6735 9937,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,472 reviews,
0,"27 Seah Street # 01-01, Singapore 188383 Singapore",Central Area/City Area,"1.296215,103.85462",French,"[u'$$ - $$$, French, Vegetarian Friendly, Vegan Options']",,4,,Entre-Nous creperie,tel:+65 6333 4671,S$15 - S$31,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,888 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"1A Short Street #01-03 Campus 1a, Singapore 188210 Singapore", from Little India,"1.302486,103.85029","Italian, Pizza","[u'$$ - $$$, Italian, Pizza']",,5,"Lunch, Dinner, Drinks",Zazz Pizza,tel:+65 8199 9909,S$6 - S$19,5.0,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,89 reviews,
0,"269 Beach Road, Singapore 199546 Singapore",Central Area/City Area,"1.300524,103.860275",,"[u'$$$$, European, Fusion, Vegetarian Friendly']",,6,,NOX - Dine in the Dark,tel:+65 6298 0708,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,"1,300 reviews",
0,"39 Hongkong Street, Singapore 059678 Singapore",Central Area/City Area,"1.287378,103.84745",,"[u'$$$$, French, Vegetarian Friendly, Vegan Options']",,7,,Vianney Massot Restaurant,tel:+65 6909 6360,,4.5,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,228 reviews,
0,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore",Marina Centre,"1.290708,103.85991",,"[u'$$$$, Asian, Singaporean, Chinese']",,8,,Colony,tel:+65 6434 5288,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,"1,816 reviews",
0,"66 Bussorah Street, Singapore 199479 Singapore",Central Area/City Area,"1.301108,103.85991",,"[u'$$ - $$$, Italian, Pizza, European']",,9,,Positano Risto,tel:+65 6292 1866,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,708 reviews,
0,"21 Keong Saik Road, Singapore 089128 Singapore",Outram,"1.279722,103.841545",,"[u'$$$$, Irish, European, Vegetarian Friendly']",,10,,Cure,tel:+65 6221 2189,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,167 reviews,
0,"22 Orange Grove Road Shangri-La Hotel Shangri-La Hotel | Tower Wing, Singapore 258350 Singapore",Tanglin,"1.311216,103.82645",,"[u'$$$$, European, International, Contemporary']",,11,,Origin Grill,tel:+65 6213 4595,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,378 reviews,
0,"21 Amber Road # 03 Chinese Swimming Club 01, Singapore 439870 Singapore",Marine Parade,"1.300114,103.90059","Chinese, Diner","[u'$$ - $$$, Chinese, Diner']",,12,"Lunch, Dinner",Fu Lin Men (CSC),tel:+65 6282 0810,S$10 - S$50,5.0,,ui_bubble_rating bubble_50,ui_bubble_rating bubble_50,ui_bubble_rating bubble_50,113 reviews,
0,"10 Bayfront Avenue Marina Bay Sands Marina Bay Sands Hotel Tower 1 Level 1, Singapore 018956 Singapore",Marina Bay,"1.282783,103.86034",,"[u'$$ - $$$, International, Vegetarian Friendly, Vegan Options']",,13,,Rise Restaurant,tel:+65 6688 5525,,4.5,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,483 reviews,
0,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore",Tanglin,"1.31149,103.82645",,"[u'$$ - $$$, Italian, Mediterranean, European']",,14,,Waterfall Ristorante Italiano,tel:+65 6213 4398,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,618 reviews,
0,"The Ritz-Carlton, Millenia Singapore 7 Raffles Avenue, Singapore 039799 Singapore",Marina Centre,"1.2905,103.86025","Bar, Wine Bar, International","[u'$$$$, Bar, Wine Bar, International']",,15,,Chihuly Lounge,tel:+65 6434 5288,S$22 - S$53,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,360 reviews,Vegetarian Friendly
0,"61 Tras Street, Singapore 079000 Singapore",Outram,"1.277772,103.84441",,"[u'$$$$, French, European, Contemporary']",,16,,Chef's Table by Chef Stephan Zoisl,tel:+65 6224 4188,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,273 reviews,
0,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore",Marina Centre,"1.290858,103.860275","Chinese, Asian","[u'$$$$, Chinese, Asian, Vegetarian Friendly']",,17,"Lunch, Dinner",Summer Pavilion,tel:+65 6434 5286,,4.5,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,638 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"202 Telok Ayer Street, Singapore 068639 Singapore",Outram,"1.280085,103.84722",,"[u'$$ - $$$, French, Bar, Cafe']",,18,,My Awesome Cafe,tel:+65 6222 2007,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,"1,015 reviews",
