review_index,sentiment,aspect,adjective
1,POS,花园,大
1,POS,感觉,喜欢
1,POS,瀑布,壮观
1,POS,设计不错,
1,POS,展馆,大
2,POS,感觉,棒
2,POS,种类,多
2,POS,景色,美丽
3,POS,设计不错,
3,POS,确实,好看
3,POS,植被茂盛,
4,POS,景点不错,
4,POS,景观不错,
4,POS,感觉,棒
5,NEU,地方,不大
5,POS,空间,大
7,POS,花园,大
7,POS,花园,美
8,POS,感觉,不错
8,POS,公园,多
9,POS,朋友,喜欢
9,POS,景色,美丽
9,POS,老人,喜欢
9,POS,大瀑布,壮观
10,POS,景点不错,
10,POS,景色,美
10,POS,地方,好
10,POS,东西,好
11,POS,花园,大
11,POS,价格,还可以
12,POS,地方不错,
13,POS,花园,大
13,POS,森林不错,
13,POS,出票,方便
13,POS,距离,近
13,POS,照片,好看
13,POS,代价,大
13,POS,拍照,好看
14,POS,灯光不错,
14,POS,好玩,好玩
15,POS,灯光不错,
16,POS,个人,喜欢
16,POS,灯光不错,
17,POS,景点不错,
18,POS,品种,多
18,POS,美景不错,
18,POS,票,方便
19,POS,景点不错,
19,POS,感觉,可爱
19,POS,灯光不错,
19,POS,价格,实惠
20,POS,景点不错,
20,POS,景色,美
20,POS,灯光不错,
21,POS,看点,大
21,POS,花园,大
22,NEU,门票,贵
22,POS,感觉,棒
24,POS,景色不错,
25,POS,设计不错,
25,POS,科技含量,高
25,POS,树木,高大
25,POS,灯光不错,
26,NEU,游客,多
26,POS,感觉,方便
26,POS,门票,便宜
26,NEU,面积,不大
26,POS,景色不错,
26,POS,拍照,美
27,POS,感觉,方便
28,POS,规划,好
29,POS,感觉,棒
29,POS,位置,好
29,POS,角度,好
30,POS,好玩,好玩
30,POS,感觉,喜欢
33,POS,男生,好
33,POS,花园,大
34,POS,环境不错,
34,POS,地方不错,
34,POS,地方,地方不错
34,POS,感觉,不错
34,POS,公园,好
34,POS,话,不错
36,POS,景色不错,
36,POS,空气,清新
36,POS,园区,大
38,POS,环境,好
39,POS,拍照,好看
39,POS,地方不错,
40,POS,个人,喜欢
41,POS,地方,大
41,POS,感觉,棒
41,POS,确实,好看
42,POS,地方,地方不错
43,POS,气势,恢宏
43,POS,感觉,方便
44,POS,花园,大
44,POS,感觉,喜欢
46,POS,感觉,惬意
46,POS,人,喜欢
47,POS,绿化不错,
47,POS,花园,大
47,POS,美景不错,
47,POS,城市,干净
47,POS,市民,很好
48,POS,感觉,不错
49,POS,夜景,美
49,POS,海鲜,美味
49,POS,映像,不错
50,POS,景点不错,
51,POS,灯光不错,
51,POS,气氛,好
54,POS,树真的,好看
54,POS,感觉,干净
54,POS,真的挺,不错
56,POS,世界,大
56,POS,好玩,好玩
56,POS,灯光不错,
57,POS,感觉,漂亮
57,POS,确实,好看
57,POS,确实,好看
57,POS,衣服不错,
58,POS,行程,紧
58,POS,确实,好看
59,POS,感觉,静谧
59,POS,孩子,开心
59,POS,感觉,不错
59,POS,口味不错,
59,POS,感觉,惬意
60,POS,建筑,美丽
61,POS,天气,热
61,POS,花园,还可以
61,POS,天气,热
61,POS,性价比,高
62,POS,夜景,美
64,POS,灯光不错,
65,NEU,灯光一般,
